country,year,demo_score,gdp
Canada,1887,4,3530
Canada,1888,9,3746
Canada,1889,9,3730
Canada,1890,9,3963
Canada,1891,9,4014
Canada,1892,9,3951
Canada,1893,9,3890
Canada,1894,9,4035
Canada,1895,9,3953
Canada,1896,9,3816
Canada,1897,9,4189
Canada,1898,9,4309
Canada,1899,9,4664
Canada,1900,9,4858
Canada,1901,9,5168
Canada,1902,9,5560
Canada,1903,9,5565
Canada,1904,9,5476
Canada,1905,9,5948
Canada,1906,9,6423
Canada,1907,9,6472
Canada,1908,9,5967
Canada,1909,9,6432
Canada,1910,9,6794
Canada,1911,9,7037
Canada,1912,9,7309
Canada,1913,9,7423
Canada,1914,9,6717
Canada,1915,9,7061
Canada,1916,9,7747
Canada,1917,9,8002
Canada,1918,9,7399
Canada,1919,9,6695
Canada,1920,9,6430
Canada,1921,10,5587
Canada,1922,10,6310
Canada,1923,10,6611
Canada,1924,10,6610
Canada,1925,10,7211
Canada,1926,10,7468
Canada,1927,10,8046
Canada,1928,10,8581
Canada,1929,10,8402
Canada,1930,10,7976
Canada,1931,10,6636
Canada,1932,10,6083
Canada,1933,10,5582
Canada,1934,10,6111
Canada,1935,10,6538
Canada,1936,10,6824
Canada,1937,10,7399
Canada,1938,10,7517
Canada,1939,10,7882
Canada,1940,10,8871
Canada,1941,10,9996
Canada,1942,10,11617
Canada,1943,10,11993
Canada,1944,10,12287
Canada,1945,10,11773
Canada,1946,10,11437
Canada,1947,10,11694
Canada,1948,10,11654
Canada,1949,10,11650
Canada,1950,10,12022
Canada,1951,10,12419
Canada,1952,10,12911
Canada,1953,10,13158
Canada,1954,10,12687
Canada,1955,10,13513
Canada,1956,10,14253
Canada,1957,10,14177
Canada,1958,10,14056
Canada,1959,10,14289
Canada,1960,10,14414
Canada,1961,10,14545
Canada,1962,10,15276
Canada,1963,10,15752
Canada,1964,10,16464
Canada,1965,10,17243
Canada,1966,10,18022
Canada,1967,10,18240
Canada,1968,10,18900
Canada,1969,10,19614
Canada,1970,10,19842
Canada,1971,10,20688
Canada,1972,10,21532
Canada,1973,10,22797
Canada,1974,10,23405
Canada,1975,10,23593
Canada,1976,10,24563
Canada,1977,10,25095
Canada,1978,10,25853
Canada,1979,10,26665
Canada,1980,10,26678
Canada,1981,10,27171
Canada,1982,10,26031
Canada,1983,10,26525
Canada,1984,10,27781
Canada,1985,10,29016
Canada,1986,10,29482
Canada,1987,10,30288
Canada,1988,10,31356
Canada,1989,10,31550
Canada,1990,10,31163
Canada,1991,10,30090
Canada,1992,10,29977
Canada,1993,10,30424
Canada,1994,10,31505
Canada,1995,10,32101
Canada,1996,10,32290
Canada,1997,10,33310
Canada,1998,10,34389
Canada,1999,10,35810
Canada,2000,10,37314
Canada,2001,10,37563
Canada,2002,10,38270
Canada,2003,10,38621
Canada,2004,10,39436
Canada,2005,10,40284
Canada,2006,10,41012
Canada,2007,10,41432
Canada,2008,10,41468
Canada,2009,10,39884
Canada,2010,10,40773
Canada,2011,10,41567
China,1800,-6,985
China,1801,-6,985
China,1802,-6,985
China,1803,-6,985
China,1804,-6,985
China,1805,-6,985
China,1806,-6,985
China,1807,-6,985
China,1808,-6,985
China,1809,-6,985
China,1810,-6,985
China,1811,-6,985
China,1812,-6,985
China,1813,-6,985
China,1814,-6,985
China,1815,-6,985
China,1816,-6,985
China,1817,-6,985
China,1818,-6,985
China,1819,-6,985
China,1820,-6,985
China,1821,-6,985
China,1822,-6,985
China,1823,-6,985
China,1824,-6,985
China,1825,-6,985
China,1826,-6,985
China,1827,-6,985
China,1828,-6,985
China,1829,-6,986
China,1830,-6,986
China,1831,-6,986
China,1832,-6,986
China,1833,-6,986
China,1834,-6,986
China,1835,-6,986
China,1836,-6,986
China,1837,-6,986
China,1838,-6,986
China,1839,-6,986
China,1840,-6,986
China,1841,-6,1031
China,1842,-6,1033
China,1843,-6,999
China,1844,-6,973
China,1845,-6,980
China,1846,-6,980
China,1847,-6,986
China,1848,-6,995
China,1849,-6,992
China,1850,-6,985
