"","X","X1972..YR1972.","X1973..YR1973.","X1974..YR1974.","X1975..YR1975.","X1976..YR1976.","X1977..YR1977.","X1978..YR1978.","X1979..YR1979.","X1980..YR1980.","X1981..YR1981.","X1982..YR1982.","X1983..YR1983.","X1984..YR1984.","X1985..YR1985.","X1986..YR1986.","X1987..YR1987.","X1988..YR1988.","X1989..YR1989.","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","Country.Name","Series.Code","Series.Name"
"131",174807,540724,545254,549882,554670,559690,564887,570038,574840,579088,582632,585565,588228,591105,594509,598606,603201,607814,611773,614601,616158,616630,616282,615521,614669,613774,612812,611947,611367,611196,611525,612325,613448,614670,615820,616854,617800,"Montenegro","SP.POP.TOTL","Population (Total)"
"132",176144,16611970,16958091,17313732,17685326,18074081,18478909,18900970,19340967,19798703,20274839,20767511,21270638,21776104,22277541,22772287,23260094,23739980,24211718,24674974,25128064,25569662,26000345,26421309,26833093,27237150,27632321,28013585,28374203,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,"Morocco","SP.POP.TOTL","Population (Total)"
"133",177481,9882718,10109853,10354300,10620260,10908161,11213159,11527369,11840048,12142014,12438624,12729259,12992559,13200833,13338850,13390888,13374618,13348965,13394656,13567959,13893546,14350459,14893218,15453464,15981571,16463426,16914628,17350739,17798102,18275618,18785719,19319894,19873460,20438827,21010376,21587317,22171404,"Mozambique","SP.POP.TOTL","Population (Total)"
"134",178818,28517301,29209751,29916891,30640635,31379211,32130628,32896129,33677496,34474755,35288662,36114948,36942428,37756446,38546211,39307611,40042444,40753329,41445433,42123003,42782387,43422423,44052710,44686091,45329862,45991828,46664455,47321204,47925630,48453000,48894203,49261313,49577152,49875169,50181020,50500070,50828959,"Myanmar","SP.POP.TOTL","Population (Total)"
"135",180155,829806,855965,881530,905647,928228,949734,970569,991365,1012761,1034446,1056758,1081740,1112044,1149389,1194769,1247186,1303879,1360921,1415447,1466152,1513689,1559480,1605828,1654214,1705309,1757969,1809719,1857149,1897953,1931282,1958303,1981237,2003320,2027026,2052931,2080700,"Namibia","SP.POP.TOTL","Population (Total)"
"136",181492,12060891,12323203,12593223,12871016,13156441,13449680,13751522,14063010,14384864,14718228,15062998,15417207,15778051,16143975,16513244,16887696,17273606,17679536,18111200,18569445,19050879,19551500,20065413,20587157,21115271,21647305,22175431,22690158,23184177,23655119,24102862,24525527,24921910,25292058,25634043,25950022,"Nepal","SP.POP.TOTL","Population (Total)"
"137",182829,13328593,13439322,13545056,13666335,13774037,13856185,13941700,14038270,14149800,14247208,14312690,14367070,14424211,14491632,14572278,14665037,14760094,14848907,14951510,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,"Netherlands","SP.POP.TOTL","Population (Total)"
"138",184166,119138,124330,128994,133000,136203,138442,140008,141414,143000,144000,144500,145400,150616,153000,154000,156751,159710,164200,168000,172167,176724,181696,187111,193000,197000,201642,205000,209214,213230,217324,221490,225735,230068,234393,238459,242400,"New Caledonia","SP.POP.TOTL","Population (Total)"
"139",185503,2903900,2961300,3023700,3083100,3110500,3120200,3121200,3109000,3112900,3124900,3156100,3199300,3227100,3247100,3246300,3274400,3283400,3299200,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4228300,"New Zealand","SP.POP.TOTL","Population (Total)"
"140",186840,2551425,2631065,2713287,2798048,2885281,2974713,3065820,3157930,3250470,3343536,3437017,3529935,3621067,3709708,3794923,3877325,3959636,4045623,4137788,4237154,4342319,4450371,4557125,4659458,4756631,4849272,4937320,5021079,5100920,5176685,5248577,5317878,5386299,5455219,5524927,5595533,"Nicaragua","SP.POP.TOTL","Population (Total)"
