"","country","year","demo_score"
"587","Armenia","1936",-9
"588","Armenia","1937",-9
"589","Armenia","1938",-9
"590","Armenia","1939",-9
"591","Armenia","1940",-9
"592","Armenia","1941",-9
"593","Armenia","1942",-9
"594","Armenia","1943",-9
"595","Armenia","1944",-9
"596","Armenia","1945",-9
"597","Armenia","1946",-9
"598","Armenia","1947",-9
"599","Armenia","1948",-9
"600","Armenia","1949",-9
"601","Armenia","1950",-9
"602","Armenia","1951",-9
"603","Armenia","1952",-9
"604","Armenia","1953",-7
"605","Armenia","1954",-7
"606","Armenia","1955",-7
"607","Armenia","1956",-7
"608","Armenia","1957",-7
"609","Armenia","1958",-7
"610","Armenia","1959",-7
"611","Armenia","1960",-7
"612","Armenia","1961",-7
"613","Armenia","1962",-7
"614","Armenia","1963",-7
"615","Armenia","1964",-7
"616","Armenia","1965",-7
"617","Armenia","1966",-7
"618","Armenia","1967",-7
"619","Armenia","1968",-7
"620","Armenia","1969",-7
"621","Armenia","1970",-7
"622","Armenia","1971",-7
"623","Armenia","1972",-7
"624","Armenia","1973",-7
"625","Armenia","1974",-7
"626","Armenia","1975",-7
"627","Armenia","1976",-7
"628","Armenia","1977",-7
"629","Armenia","1978",-7
"630","Armenia","1979",-7
"631","Armenia","1980",-7
"632","Armenia","1981",-7
"633","Armenia","1982",-7
"634","Armenia","1983",-7
"635","Armenia","1984",-7
"636","Armenia","1985",-7
"637","Armenia","1986",-7
"638","Armenia","1987",-7
"639","Armenia","1988",-6
"640","Armenia","1989",-4
"641","Armenia","1990",0
"642","Armenia","1991",7
"643","Armenia","1992",7
"644","Armenia","1993",7
"645","Armenia","1994",7
"646","Armenia","1995",3
"647","Armenia","1996",-6
"648","Armenia","1997",-6
"649","Armenia","1998",5
"650","Armenia","1999",5
"651","Armenia","2000",5
"652","Armenia","2001",5
"653","Armenia","2002",5
"654","Armenia","2003",5
"655","Armenia","2004",5
"656","Armenia","2005",5
"657","Armenia","2006",5
"658","Armenia","2007",5
"659","Armenia","2008",5
"660","Armenia","2009",5
"661","Armenia","2010",5
"662","Armenia","2011",5
"663","Australia","1901",10
"664","Australia","1902",10
"665","Australia","1903",10
"666","Australia","1904",10
"667","Australia","1905",10
"668","Australia","1906",10
"669","Australia","1907",10
"670","Australia","1908",10
"671","Australia","1909",10
"672","Australia","1910",10
"673","Australia","1911",10
"674","Australia","1912",10
"675","Australia","1913",10
"676","Australia","1914",10
"677","Australia","1915",10
"678","Australia","1916",10
"679","Australia","1917",10
"680","Australia","1918",10
"681","Australia","1919",10
"682","Australia","1920",10
"683","Australia","1921",10
"684","Australia","1922",10
"685","Australia","1923",10
"686","Australia","1924",10
"687","Australia","1925",10
"688","Australia","1926",10
"689","Australia","1927",10
"690","Australia","1928",10
"691","Australia","1929",10
"692","Australia","1930",10
"693","Australia","1931",10
"694","Australia","1932",10
"695","Australia","1933",10
"696","Australia","1934",10
"697","Australia","1935",10
"698","Australia","1936",10
"699","Australia","1937",10
"700","Australia","1938",10
"701","Australia","1939",10
"702","Australia","1940",10
"703","Australia","1941",10
"704","Australia","1942",10
"705","Australia","1943",10
"706","Australia","1944",10
"707","Australia","1945",10
"708","Australia","1946",10
"709","Australia","1947",10
"710","Australia","1948",10
"711","Australia","1949",10
"712","Australia","1950",10
"713","Australia","1951",10
"714","Australia","1952",10
"715","Australia","1953",10
"716","Australia","1954",10
"717","Australia","1955",10
"718","Australia","1956",10
"719","Australia","1957",10
"720","Australia","1958",10
"721","Australia","1959",10
"722","Australia","1960",10
"723","Australia","1961",10
"724","Australia","1962",10
"725","Australia","1963",10
"726","Australia","1964",10
"727","Australia","1965",10
"728","Australia","1966",10
"729","Australia","1967",10
"730","Australia","1968",10
"731","Australia","1969",10
"732","Australia","1970",10
"733","Australia","1971",10
"734","Australia","1972",10
"735","Australia","1973",10
"736","Australia","1974",10
"737","Australia","1975",10
"738","Australia","1976",10
"739","Australia","1977",10
"740","Australia","1978",10
"741","Australia","1979",10
"742","Australia","1980",10
"743","Australia","1981",10
"744","Australia","1982",10
"745","Australia","1983",10
"746","Australia","1984",10
"747","Australia","1985",10
"748","Australia","1986",10
"749","Australia","1987",10
"750","Australia","1988",10
"751","Australia","1989",10
"752","Australia","1990",10
"753","Australia","1991",10
"754","Australia","1992",10
